market_id,selection_id,race_time,reference_price,reference_time,price_at_flag,time_at_flag,percentage_drop,actual_sp,outcome,result
1.260925913,101451546,2026-08-11 03:40:00+00:00,6.0,64.211,5.3,4.196,11.66666666666667,,LOSER,2.075471698113212
1.260958624,40284847,2026-08-11 09:20:00+00:00,12.0,82.989,9.6,23.042,20.000000000000004,,LOSER,7.5
1.260958626,3734788,2026-08-11 09:54:00+00:00,11.5,82.967,9.8,22.96,14.782608695652169,,LOSER,3.9795918367346914
1.2609916,69931541,2026-08-13 06:55:00+00:00,6.0,69.307,4.8,9.279,20.000000000000004,,LOSER,7.5
1.261063181,82021335,2026-08-14 08:07:00+00:00,6.8,81.412,5.9,21.289,13.23529411764705,,LOSER,3.0169491525423737
1.261063193,97523247,2026-08-14 10:19:00+00:00,11.0,81.32,9.4,21.26,14.54545454545454,,LOSER,3.829787234042556
1.261128371,101612006,2026-08-16 08:57:00+00:00,7.0,66.603,5.5,6.65,21.428571428571427,,LOSER,8.545454545454547
1.261327468,97242356,2026-08-22 08:50:00+00:00,4.7,80.38,4.2,20.449,10.638297872340424,,LOSER,1.4761904761904745
1.261564787,62634787,2026-08-29 06:10:00+00:00,4.0,81.287,3.5,21.255,12.5,,LOSER,2.5714285714285765
1.261564796,85744919,2026-08-29 06:45:00+00:00,7.2,81.272,5.5,21.318,23.611111111111114,,LOSER,10.21818181818182
1.260808197,61034028,2026-08-07 10:18:00+00:00,5.3,82.628,4.5,22.587,15.094339622641506,,LOSER,4.177777777777777
1.260808199,80027501,2026-08-07 10:53:00+00:00,7.6,82.59,6.6,22.567,13.157894736842104,,WINNER,2.969696969696976
1.260808199,65832474,2026-08-07 10:53:00+00:00,5.3,82.59,4.5,22.567,15.094339622641506,,LOSER,4.177777777777777
1.260808201,101387885,2026-08-07 11:28:00+00:00,8.2,82.978,7.2,22.64,12.195121951219502,,LOSER,2.3888888888888857
1.260808201,101387888,2026-08-07 11:28:00+00:00,4.6,82.978,3.9,22.64,15.21739130434782,,LOSER,4.256410256410256
